IDStation;Nom;NomLigne
11;Châtelet;11
12;Hôtel de Ville;11
264;Rambuteau;11
58;Arts et Métiers;11
60;République;11
267;Goncourt;11
268;Belleville;11
269;Pyrénées;11
270;Jourdain;11
177;Place des Fêtes;11
272;Télégraphe;11
273;Porte des Lilas;11
274;Porte de la Chapelle;12
275;Marx Dormoy;12
72;Marcadet - Poissonniers;12
277;Jules Joffrin;12
278;Lamarck - Caulaincourt;12
279;Abbesses;12
30;Pigalle;12
281;Saint-Georges;12
282;Notre-Dame-de-Lorette;12
283;Trinité - d'Estienne d'Orves;12
51;Saint-Lazare;12
191;Madeleine;12
7;Concorde;12
287;Assemblée Nationale;12
288;Solférino;12
289;Rue du Bac;12
248;Sèvres - Babylone;12
291;Rennes;12
292;Notre-Dame des Champs;12
89;Montparnasse Bienvenue;12
294;Falguière;12
124;Pasteur;12
296;Volontaires;12
297;Vaugirard;12
298;Convention;12
299;Porte de Versailles;12
300;Porte de Vanves;13
301;Plaisance;13
302;Pernety;13
303;Gaîté;13
89;Montparnasse Bienvenue;13
250;Duroc;13
306;Saint-François-Xavier;13
307;Varenne;13
308;Invalides;13
6;Champs-Elysées - Clemenceau;13
223;Miromesnil;13
51;Saint-Lazare;13
312;Liège;13
28;Place de Clichy;13
314;La Fourche;13
315;Guy Môquet;13
316;Porte de Saint-Ouen;13
317;La Fourche;13
318;Brochant;13
319;Porte de Clichy;13
319;Porte de Clichy;14
321;Pont Cardinet;14
51;Saint-Lazare;14
191;Madeleine;14
155;Pyramides;14
11;Châtelet;14
15;Gare de Lyon;14
136;Bercy;14
328;Cour Saint-Emilion;14
329;Bibliothèque François Mitterrand;14
330;Olympiades;14
167;Maison Blanche;14
